id,name,average,usersrated,number of comments,complexity votes,average complexity,year published,min player number,max player number,min play time,max play time,expected play time,minimum age limit,category,mechanism,game designer,publisher,url
173346,7 Wonders Duel,8.09577,94651,12656,3032,2.2282,2015,2,2,30,30,30,10,Economic // City Building // Card Game // Civilization // Ancient,Victory Points as a Resource // Variable Player Powers // Variable Set-up // Market // End Game Bonuses // Tech Trees / Tech Tracks // Tug of War // Sudden Death Ending // Layering // Multi-Use Cards // Modular Board // Set Collection // Once-Per-Game Abilities // Open Drafting // Tags // Income,Bruno Cathala // Antoine Bauza,Kaissa Chess & Games // Hobby Japan // Gém Klub Kft. // Ігромаг // CoolPlay // KADABRA // Korea Boardgames // Rebel Sp. z o.o. // Boardgame Space // Ludicus // Galápagos Jogos // Repos Production // Pridemage Games // Ponva d.o.o. // Sombreros Production // Siam Board Games // Asterion Press // ADC Blackfire Entertainment // Lautapelit.fi // Lifestyle Boardgames Ltd,https://boardgamegeek.com/xmlapi2/thing?id=173346&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
28720,Brass: Lancashire,8.19417,24932,5192,1669,3.8562,2007,2,4,60,120,120,14,Economic // Transportation // Industry / Manufacturing // Post-Napoleonic,Loans // Network and Route Building // Market // Hand Management // Tech Trees / Tech Tracks // Turn Order: Stat-Based // Income,Martin Wallace,"PHALANX // Giant Roc // Funforge // Arclight Games // Wargames Club Publishing // White Goblin Games // Conclave Editora // BoardM Factory // Dexker Games // Roxley // Eagle-Gryphon Games // CrowD Games // Rebel Sp. z o.o. // Maldito Games // Ghenos Games // Warfrog Games // FRED Distribution, Inc. // Pegasus Spiele",https://boardgamegeek.com/xmlapi2/thing?id=28720&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
167355,Nemesis,8.27099,30528,4763,1130,3.4681,2018,1,5,90,180,180,12,Horror // Science Fiction // Miniatures // Adventure,Campaign / Battle Card Driven // Team-Based Game // Variable Player Powers // Cooperative Game // Hand Management // Hidden Roles // Solo / Solitaire Game // Modular Board // Traitor Game // Dice Rolling // Semi-Cooperative Game // Player Elimination // Interrupts,Adam Kwapiński,Funforge // Arclight Games // Rebel Studio // Geekach Games // Korea Boardgames // Rebel Sp. z o.o. // Galápagos Jogos // Delta Vision Publishing // Hobby World // Asmodee // MINDOK // Cranio Creations // Awaken Realms,https://boardgamegeek.com/xmlapi2/thing?id=167355&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
266507,Clank! Legacy: Acquisitions Incorporated,8.53703,9428,1490,145,2.731,2019,2,4,90,120,120,13,Fantasy // Miniatures // Adventure,"Movement Points // Variable Player Powers // Variable Set-up // Pick-up and Deliver // Deck, Bag, and Pool Building // End Game Bonuses // Delayed Purchase // Events // Scenario / Mission / Campaign Game // Legacy Game // Player Elimination // Point to Point Movement // Push Your Luck // Set Collection // Map Addition // Open Drafting // Once-Per-Game Abilities // Narrative Choice / Paragraph",Paul Dennen // Andy Clautice,Dire Wolf // Origames // Renegade Game Studios // Schwerkraft-Verlag // Penny Arcade // Devir // Korea Boardgames // Lucrum Games,https://boardgamegeek.com/xmlapi2/thing?id=266507&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
177736,A Feast for Odin,8.17215,28519,4421,1051,3.8582,2016,1,4,30,120,120,12,Economic // Medieval // Industry / Manufacturing // Farming // Puzzle,Automatic Resource Growth // Worker Placement // Grid Coverage // Solo / Solitaire Game // Tile Placement // Push Your Luck // Dice Rolling // Turn Order: Pass Order // Income,Uwe Rosenberg,Mandala Jogos // Super Meeple // Z-Man Games // White Goblin Games // Feuerland Spiele // Game Harbor // Devir // Korea Boardgames // Rebel Sp. z o.o. // テンデイズゲームズ(TendaysGames) // Filosofia Éditions // Hobby World // Maldito Games // Cranio Creations // TLAMA games // Lacerta,https://boardgamegeek.com/xmlapi2/thing?id=177736&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
124361,Concordia,8.09471,40486,6320,1618,2.9883,2013,2,5,100,100,100,13,Economic // Ancient // Nautical,"Movement Points // Hand Management // Action Retrieval // Deck, Bag, and Pool Building // Hidden Victory Points // End Game Bonuses // Advantage Token // Investment // Point to Point Movement // Set Collection // Open Drafting // Auction: Dutch // Variable Set-up",Mac Gerdts,"PD-Verlag // New Games Order, LLC // Heidelberger Spieleverlag // Egmont Polska // CrowD Games // Korea Boardgames // Gém Klub Kft. // Ediciones MasQueOca // Playfun Games // Lex Games // Rio Grande Games // Cranio Creations // Ystari Games // 999 Games",https://boardgamegeek.com/xmlapi2/thing?id=124361&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
205637,Arkham Horror: The Card Game,8.13085,43115,6769,1447,3.5411,2016,1,2,60,120,120,14,Novel-based // Card Game // Collectible Components // Adventure // Horror // Exploration,Communication Limits // Variable Player Powers // Cooperative Game // Hand Management // Map Deformation // Action Points // Deck Construction // Area Movement // Events // Scenario / Mission / Campaign Game // Solo / Solitaire Game // Modular Board // Push Your Luck // Stat Check Resolution // Role Playing,MJ Newman // Nate French,Galakta // Arclight Games // Heidelberger Spieleverlag // Korea Boardgames // Edge Entertainment // Asterion Press // Galápagos Jogos // Ігромаг // Hobby World // Asmodee // Fantasy Flight Games,https://boardgamegeek.com/xmlapi2/thing?id=205637&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
341169,Great Western Trail: Second Edition,8.34021,12653,1429,404,3.7203,2021,1,4,75,150,150,12,Economic // American West // Animals,"Variable Set-up // Hand Management // Deck, Bag, and Pool Building // Solo / Solitaire Game // Track Movement // Set Collection // Ownership // Tags",Alexander Pfister,本长文化 // Arclight Games // Lacerta // Yayoi The Dreamer // Korea Boardgames // Galápagos Jogos // Rebel Sp. z o.o. // Ediciones MasQueOca // Delta Vision Publishing // Ghenos Games // CoolPlay // Zvezda // eggertspiele,https://boardgamegeek.com/xmlapi2/thing?id=341169&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
266192,Wingspan,8.0478,93191,12697,3130,2.4655,2019,1,5,40,70,70,10,Educational // Animals // Card Game,Open Drafting // Hand Management // End Game Bonuses // Solo / Solitaire Game // Turn Order: Progressive // Set Collection // Dice Rolling // Action Queue // Once-Per-Game Abilities,Elizabeth Hargrave,Kaissa Chess & Games // Matagot // Ігромаг // MINDOK // 999 Games // Brain Games // Grok Games // MIPL // Lavka Games // Korea Boardgames // Rebel Sp. z o.o. // Bluebird Games // Ghenos Games // Surfin' Meeple China // Green Elephant Games // Angry Lion Games // Ludofy Creative // Arclight Games // Maldito Games // Asmodee // NeoTroy Games // Feuerland Spiele // Divercentro // Regatul Jocurilor // Siam Board Games // Stonemaier Games // Delta Vision Publishing // Lautapelit.fi,https://boardgamegeek.com/xmlapi2/thing?id=266192&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
120677,Terra Mystica,8.06191,48011,6966,2939,3.9728,2012,2,5,60,150,150,12,Economic // Fantasy // Civilization // Territory Building,Victory Points as a Resource // Variable Player Powers // Network and Route Building // Increase Value of Unchosen Resources // End Game Bonuses // Tech Trees / Tech Tracks // Area Majority / Influence // Hexagon Grid // Turn Order: Pass Order // Chaining // Variable Set-up // Income,Jens Drögemüller // Helge Ostertag,"Swan Panasia Co., Ltd. // Mandala Jogos // Z-Man Games // White Goblin Games // Feuerland Spiele // Capstone Games // HomoLudicus // Devir // テンデイズゲームズ(TendaysGames) // Bard Centrum Gier // Filosofia Éditions // Gém Klub Kft. // FunBox Jogos // MINDOK // Cranio Creations // Zvezda",https://boardgamegeek.com/xmlapi2/thing?id=120677&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
312484,Lost Ruins of Arnak,8.07466,44118,5628,1464,2.9221,2020,1,4,30,120,120,12,Travel // Adventure // Exploration // Fantasy // Ancient,"Market // Resource to Move // Worker Placement // Deck, Bag, and Pool Building // Solo / Solitaire Game // Contracts // Multi-Use Cards // Turn Order: Progressive // Once-Per-Game Abilities",Elwen // Mín,"HeidelBÄR Games // Kaissa Chess & Games // Fantasmagoria // Hobby Japan // Devir // Gém Klub Kft. // More Fun Co., Ltd. // MINDOK // Lex Games // Spilbræt.dk // Czech Games Edition // Rebel Sp. z o.o. // Cranio Creations // Brädspel.se // Lord of Boards // Games4you // IELLO // GaGa Games // White Goblin Games // DiceTree Games // Lautapelit.fi // One Moment Games",https://boardgamegeek.com/xmlapi2/thing?id=312484&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
295770,Frosthaven,8.84393,6967,1713,371,4.3693,2022,1,4,90,180,180,14,Fighting // Miniatures // Adventure // Fantasy // Exploration,"Campaign / Battle Card Driven // Communication Limits // Variable Player Powers // Cooperative Game // Simultaneous Action Selection // Hand Management // Deck, Bag, and Pool Building // Deck Construction // Scenario / Mission / Campaign Game // Solo / Solitaire Game // Legacy Game // Multi-Use Cards // Hexagon Grid // Modular Board // Grid Movement // Once-Per-Game Abilities // Narrative Choice / Paragraph",Isaac Childres,Albi Polska // Feuerland Spiele // Delta Vision Publishing // Cephalofair Games // Albi,https://boardgamegeek.com/xmlapi2/thing?id=295770&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
237182,Root,8.07479,51335,7571,2164,3.8064,2018,2,4,60,90,90,10,Wargame // Animals // Territory Building // Negotiation // Fantasy,Variable Player Powers // Hand Management // Action Retrieval // Action Points // Area Movement // Race // Sudden Death Ending // Take That // Area Majority / Influence // Multi-Use Cards // Point to Point Movement // Negotiation // Dice Rolling // Action Queue // Variable Set-up,Cole Wehrle,Leder Games // MS Edizioni // 2Tomatoes Games // CMON Global Limited // Arclight Games // Fox in the Box // Portal Games // CrowD Games // Kilogames // Korea Boardgames // Matagot // Spielworxx // Tower Tactic Games // Delta Vision Publishing // YOKA Games // Quality Beast // MeepleBR,https://boardgamegeek.com/xmlapi2/thing?id=237182&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
164928,Orléans,8.06176,31371,4495,1076,3.026,2014,2,5,90,90,90,12,Religious // Travel // Medieval,"Simultaneous Action Selection // Deck, Bag, and Pool Building // End Game Bonuses // Events // Tech Trees / Tech Tracks // Contracts // Point to Point Movement // Turn Order: Progressive // Worker Placement, Different Worker Types // Variable Set-up",Reiner Stockhausen,"Swan Panasia Co., Ltd. // MEEPLE // Tasty Minstrel Games // White Goblin Games // Arclight Games // Capstone Games // dlp games // Engames // Arrakis Games // Korea Boardgames // Matagot // BGA Plus // Surfin' Meeple China // Games7Days // Baldar // Cranio Creations // MeepleBR // GaGa Games",https://boardgamegeek.com/xmlapi2/thing?id=164928&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
192135,Too Many Bones,8.34326,13332,2450,526,3.8536,2017,1,4,60,120,120,12,Fantasy // Dice // Fighting // Adventure,Variable Player Powers // Cooperative Game // Resource to Move // Tech Trees / Tech Tracks // Scenario / Mission / Campaign Game // Solo / Solitaire Game // Square Grid // Die Icon Resolution // Stat Check Resolution // Grid Movement // Dice Rolling // Turn Order: Role Order // Role Playing // Narrative Choice / Paragraph,Adam Carlson // Josh J. Carlson,SD Games // Lavka Games // Dice Realm // Gameland 游戏大陆 // Portal Games // Reflexshop // Frosted Games // Lucky Duck Games // Chip Theory Games,https://boardgamegeek.com/xmlapi2/thing?id=192135&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
96848,Mage Knight Board Game,8.08499,33315,6407,2723,4.3639,2011,1,4,60,240,240,14,Fighting // Miniatures // Adventure // Fantasy // Exploration,"Variable Player Powers // Cooperative Game // Hand Management // Deck, Bag, and Pool Building // Solo / Solitaire Game // Multi-Use Cards // Hexagon Grid // Modular Board // Turn Order: Claim Action // Grid Movement // Dice Rolling // Open Drafting // Role Playing // Card Play Conflict Resolution",Vlaada Chvátil,Intrafin Games // Giochi Uniti // REXhry // NECA // Pegasus Spiele // Asmodee // WizKids (I) // Lacerta,https://boardgamegeek.com/xmlapi2/thing?id=96848&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
199792,Everdell,8.02615,54686,7151,1659,2.827,2018,1,4,40,80,80,10,Fantasy // City Building // Animals // Card Game,Hand Management // Worker Placement // End Game Bonuses // Solo / Solitaire Game // Contracts // Set Collection // Ownership // Open Drafting // Variable Set-up // Income,James A. Wilson,Kaissa Chess & Games // Fantasmagoria // Matagot // YOKA Games // Gém Klub Kft. // Ігромаг // Pegasus Spiele // CMON Global Limited // MIPL // Starling Games (II) // Rebel Sp. z o.o. // Hobby World // Arclight Games // REXhry // Galápagos Jogos // Maldito Games // Abraxas // White Goblin Games // Gameology (Gameology Romania),https://boardgamegeek.com/xmlapi2/thing?id=199792&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
251247,Barrage,8.16341,17703,2597,1027,4.1139,2019,1,4,60,120,120,14,Economic // Industry / Manufacturing // Environmental,Variable Player Powers // Network and Route Building // Action Retrieval // Worker Placement // End Game Bonuses // Solo / Solitaire Game // Contracts // Turn Order: Stat-Based // Ownership // Variable Set-up // Income,Simone Luciani // Tommaso Battista,sternenschimmermeer // Intrafin Games // Feuerland Spiele // Portal Games // Game Harbor // CrowD Games // Korea Boardgames // Galápagos Jogos // WoodCat // テンデイズゲームズ(TendaysGames) // Delta Vision Publishing // Maldito Games // Cranio Creations,https://boardgamegeek.com/xmlapi2/thing?id=251247&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
324856,The Crew: Mission Deep Sea,8.15285,17538,2346,341,2.0293,2021,2,5,20,20,20,10,Card Game // Adventure // Mythology // Nautical // Deduction,Communication Limits // Cooperative Game // Hand Management // Scenario / Mission / Campaign Game // Trick-taking,Thomas Sing,"Zvezda // Swan Panasia Co., Ltd. // MIPL // Galakta // GP Games // Piatnik // Kaissa Chess & Games // Giochi Uniti // Devir // Korea Boardgames // KOSMOS // IELLO // MINDOK // 999 Games",https://boardgamegeek.com/xmlapi2/thing?id=324856&type=boardgame&versions=1&stats=1&marketplace=1&ratingcomments=1
